am_sid,name,rank,id
Fis-27577,cellular organisms,no rank,131567
Fis-27577,Eukaryota,superkingdom,2759
Fis-27577,Opisthokonta,clade,33154
Fis-27577,Metazoa,kingdom,33208
Fis-27577,Eumetazoa,clade,6072
Fis-27577,Bilateria,clade,33213
Fis-27577,Deuterostomia,clade,33511
Fis-27577,Chordata,phylum,7711
Fis-27577,Craniata,subphylum,89593
Fis-27577,Vertebrata,clade,7742
Fis-27577,Gnathostomata,clade,7776
Fis-27577,Teleostomi,clade,117570
Fis-27577,Euteleostomi,clade,117571
Fis-27577,Actinopterygii,superclass,7898
Fis-27577,Actinopteri,class,186623
Fis-27577,Neopterygii,subclass,41665
Fis-27577,Teleostei,infraclass,32443
Fis-27577,Osteoglossocephalai,clade,1489341
Fis-27577,Clupeocephala,no rank,186625
Fis-27577,Euteleosteomorpha,cohort,1489388
Fis-27577,Neoteleostei,clade,123365
Fis-27577,Eurypterygia,clade,123366
Fis-27577,Ctenosquamata,clade,123367
Fis-27577,Acanthomorphata,clade,123368
Fis-27577,Euacanthomorphacea,clade,123369
Fis-27577,Percomorphaceae,clade,1489872
Fis-27577,Ovalentaria,clade,1489908
Fis-27577,Atherinomorphae,superorder,1489913
Fis-27577,Beloniformes,order,76071
Fis-27577,Belonoidei,suborder,123731
Fis-27577,Hemiramphidae,family,88694
Fis-27577,Hemiramphus,genus,88695
Fis-27577,Hemiramphus marginatus,species,2204214
Fis-50238,cellular organisms,no rank,131567
Fis-50238,Eukaryota,superkingdom,2759
Fis-50238,Opisthokonta,clade,33154
Fis-50238,Metazoa,kingdom,33208
Fis-50238,Eumetazoa,clade,6072
Fis-50238,Bilateria,clade,33213
Fis-50238,Deuterostomia,clade,33511
Fis-50238,Chordata,phylum,7711
Fis-50238,Craniata,subphylum,89593
Fis-50238,Vertebrata,clade,7742
Fis-50238,Gnathostomata,clade,7776
Fis-50238,Teleostomi,clade,117570
Fis-50238,Euteleostomi,clade,117571
Fis-50238,Actinopterygii,superclass,7898
Fis-50238,Actinopteri,class,186623
Fis-50238,Neopterygii,subclass,41665
Fis-50238,Teleostei,infraclass,32443
Fis-50238,Osteoglossocephalai,clade,1489341
Fis-50238,Clupeocephala,no rank,186625
Fis-50238,Euteleosteomorpha,cohort,1489388
Fis-50238,Neoteleostei,clade,123365
Fis-50238,Eurypterygia,clade,123366
Fis-50238,Ctenosquamata,clade,123367
Fis-50238,Acanthomorphata,clade,123368
Fis-50238,Euacanthomorphacea,clade,123369
Fis-50238,Percomorphaceae,clade,1489872
Fis-50238,Ovalentaria,clade,1489908
Fis-50238,Atherinomorphae,superorder,1489913
Fis-50238,Beloniformes,order,76071
Fis-50238,Belonoidei,suborder,123731
Fis-50238,Hemiramphidae,family,88694
Fis-50238,Hemiramphus,genus,88695
Fis-50238,Hemiramphus robustus,species,2067532
Fis-30096,cellular organisms,no rank,131567
Fis-30096,Eukaryota,superkingdom,2759
Fis-30096,Opisthokonta,clade,33154
Fis-30096,Metazoa,kingdom,33208
Fis-30096,Eumetazoa,clade,6072
Fis-30096,Bilateria,clade,33213
Fis-30096,Deuterostomia,clade,33511
Fis-30096,Chordata,phylum,7711
Fis-30096,Craniata,subphylum,89593
Fis-30096,Vertebrata,clade,7742
Fis-30096,Gnathostomata,clade,7776
Fis-30096,Teleostomi,clade,117570
Fis-30096,Euteleostomi,clade,117571
Fis-30096,Actinopterygii,superclass,7898
Fis-30096,Actinopteri,class,186623
Fis-30096,Neopterygii,subclass,41665
Fis-30096,Teleostei,infraclass,32443
Fis-30096,Osteoglossocephalai,clade,1489341
Fis-30096,Clupeocephala,no rank,186625
