am_sid,name,rank,id
Fis-34863,cellular organisms,no rank,131567
Fis-34863,Eukaryota,superkingdom,2759
Fis-34863,Opisthokonta,clade,33154
Fis-34863,Metazoa,kingdom,33208
Fis-34863,Eumetazoa,clade,6072
Fis-34863,Bilateria,clade,33213
Fis-34863,Deuterostomia,clade,33511
Fis-34863,Chordata,phylum,7711
Fis-34863,Craniata,subphylum,89593
Fis-34863,Vertebrata,clade,7742
Fis-34863,Gnathostomata,clade,7776
Fis-34863,Teleostomi,clade,117570
Fis-34863,Euteleostomi,clade,117571
Fis-34863,Actinopterygii,superclass,7898
Fis-34863,Actinopteri,class,186623
Fis-34863,Neopterygii,subclass,41665
Fis-34863,Teleostei,infraclass,32443
Fis-34863,Osteoglossocephalai,clade,1489341
Fis-34863,Clupeocephala,no rank,186625
Fis-34863,Euteleosteomorpha,cohort,1489388
Fis-34863,Neoteleostei,clade,123365
Fis-34863,Eurypterygia,clade,123366
Fis-34863,Aulopa,clade,1489829
Fis-34863,Aulopiformes,order,68510
Fis-34863,Alepisauroidei,suborder,143312
Fis-34863,Bathysauridae,family,172132
Fis-34863,Bathysaurus,genus,172133
Fis-34863,Bathysaurus ferox,species,172134
Fis-34865,cellular organisms,no rank,131567
Fis-34865,Eukaryota,superkingdom,2759
Fis-34865,Opisthokonta,clade,33154
Fis-34865,Metazoa,kingdom,33208
Fis-34865,Eumetazoa,clade,6072
Fis-34865,Bilateria,clade,33213
Fis-34865,Deuterostomia,clade,33511
Fis-34865,Chordata,phylum,7711
Fis-34865,Craniata,subphylum,89593
Fis-34865,Vertebrata,clade,7742
Fis-34865,Gnathostomata,clade,7776
Fis-34865,Teleostomi,clade,117570
Fis-34865,Euteleostomi,clade,117571
Fis-34865,Actinopterygii,superclass,7898
Fis-34865,Actinopteri,class,186623
Fis-34865,Neopterygii,subclass,41665
Fis-34865,Teleostei,infraclass,32443
Fis-34865,Osteoglossocephalai,clade,1489341
Fis-34865,Clupeocephala,no rank,186625
Fis-34865,Euteleosteomorpha,cohort,1489388
Fis-34865,Neoteleostei,clade,123365
Fis-34865,Eurypterygia,clade,123366
Fis-34865,Aulopa,clade,1489829
Fis-34865,Aulopiformes,order,68510
Fis-34865,Alepisauroidei,suborder,143312
Fis-34865,Bathysauridae,family,172132
Fis-34865,Bathysaurus,genus,172133
Fis-34865,Bathysaurus mollis,species,1126214
Fis-27195,cellular organisms,no rank,131567
Fis-27195,Eukaryota,superkingdom,2759
Fis-27195,Opisthokonta,clade,33154
Fis-27195,Metazoa,kingdom,33208
Fis-27195,Eumetazoa,clade,6072
Fis-27195,Bilateria,clade,33213
Fis-27195,Deuterostomia,clade,33511
Fis-27195,Chordata,phylum,7711
Fis-27195,Craniata,subphylum,89593
Fis-27195,Vertebrata,clade,7742
Fis-27195,Gnathostomata,clade,7776
Fis-27195,Teleostomi,clade,117570
Fis-27195,Euteleostomi,clade,117571
Fis-27195,Actinopterygii,superclass,7898
Fis-27195,Actinopteri,class,186623
Fis-27195,Neopterygii,subclass,41665
Fis-27195,Teleostei,infraclass,32443
Fis-27195,Osteoglossocephalai,clade,1489341
Fis-27195,Clupeocephala,no rank,186625
Fis-27195,Euteleosteomorpha,cohort,1489388
Fis-27195,Neoteleostei,clade,123365
Fis-27195,Eurypterygia,clade,123366
Fis-27195,Ctenosquamata,clade,123367
Fis-27195,Acanthomorphata,clade,123368
Fis-27195,Euacanthomorphacea,clade,123369
Fis-27195,Percomorphaceae,clade,1489872
Fis-27195,Carangaria,clade,1489904
Fis-27195,Pleuronectiformes,order,8252
Fis-27195,Pleuronectoidei,suborder,30942
Fis-27195,Soleidae,family,30948
Fis-27195,Bathysolea,genus,253865
Fis-27195,Bathysolea profundicola,species,253866
SLB-98704,cellular organisms,no rank,131567
SLB-98704,Eukaryota,superkingdom,2759
SLB-98704,Opisthokonta,clade,33154
SLB-98704,Metazoa,kingdom,33208
SLB-98704,Eumetazoa,clade,6072
SLB-98704,Bilateria,clade,33213
SLB-98704,Protostomia,clade,33317
SLB-98704,Ecdysozoa,clade,1206794
SLB-98704,Panarthropoda,clade,88770
SLB-98704,Arthropoda,phylum,6656
SLB-98704,Mandibulata,clade,197563
SLB-98704,Pancrustacea,clade,197562
SLB-98704,Crustacea,subphylum,6657
SLB-98704,Multicrustacea,superclass,2172821
SLB-98704,Malacostraca,class,6681
SLB-98704,Eumalacostraca,subclass,72041
SLB-98704,Hoplocarida,superorder,75389
SLB-98704,Stomatopoda,order,75390
SLB-98704,Unipeltata,no rank,77689
SLB-98704,Bathysquilloidea,superfamily,2034292
SLB-98704,Bathysquillidae,family,2034293
SLB-98704,Bathysquilla,genus,2034285
SLB-98704,Bathysquilla crassispinosa,species,2034286
W-Msc-138848,cellular organisms,no rank,131567
W-Msc-138848,Eukaryota,superkingdom,2759
W-Msc-138848,Opisthokonta,clade,33154
W-Msc-138848,Metazoa,kingdom,33208
W-Msc-138848,Eumetazoa,clade,6072
W-Msc-138848,Bilateria,clade,33213
W-Msc-138848,Protostomia,clade,33317
W-Msc-138848,Spiralia,clade,2697495
W-Msc-138848,Lophotrochozoa,clade,1206795
W-Msc-138848,Mollusca,phylum,6447
W-Msc-138848,Cephalopoda,class,6605
W-Msc-138848,Coleoidea,subclass,6606
W-Msc-138848,Decapodiformes,superorder,215450
W-Msc-138848,Teuthida,order,551290
W-Msc-138848,Oegopsina,suborder,34542
W-Msc-138848,Bathyteuthidae,family,61691
W-Msc-138848,Bathyteuthis,genus,61692
W-Msc-138848,Bathyteuthis abyssicola,species,61693
Fis-138460,cellular organisms,no rank,131567
Fis-138460,Eukaryota,superkingdom,2759
Fis-138460,Opisthokonta,clade,33154
Fis-138460,Metazoa,kingdom,33208
Fis-138460,Eumetazoa,clade,6072
Fis-138460,Bilateria,clade,33213
Fis-138460,Deuterostomia,clade,33511
Fis-138460,Chordata,phylum,7711
Fis-138460,Craniata,subphylum,89593
Fis-138460,Vertebrata,clade,7742
Fis-138460,Gnathostomata,clade,7776
Fis-138460,Teleostomi,clade,117570
Fis-138460,Euteleostomi,clade,117571
Fis-138460,Actinopterygii,superclass,7898
Fis-138460,Actinopteri,class,186623
Fis-138460,Neopterygii,subclass,41665
Fis-138460,Teleostei,infraclass,32443
Fis-138460,Osteoglossocephalai,clade,1489341
Fis-138460,Clupeocephala,no rank,186625
Fis-138460,Otomorpha,cohort,186634
Fis-138460,Alepocephali,subcohort,1489485
Fis-138460,Alepocephaliformes,order,1489486
Fis-138460,Alepocephalidae,family,134615
Fis-138460,Bathytroctes,genus,443632
Fis-138460,Bathytroctes macrolepis,species,492030
Fis-14212,cellular organisms,no rank,131567
Fis-14212,Eukaryota,superkingdom,2759
Fis-14212,Opisthokonta,clade,33154
Fis-14212,Metazoa,kingdom,33208
Fis-14212,Eumetazoa,clade,6072
Fis-14212,Bilateria,clade,33213
Fis-14212,Deuterostomia,clade,33511
Fis-14212,Chordata,phylum,7711
Fis-14212,Craniata,subphylum,89593
Fis-14212,Vertebrata,clade,7742
Fis-14212,Gnathostomata,clade,7776
Fis-14212,Teleostomi,clade,117570
