taxon,spp_gp
echinoderms,meridiastra calcar
echinoderms,meridiastra gunnii
echinoderms,meridiastra mortenseni
echinoderms,meridiastra occidens
echinoderms,meridiastra oriens
echinoderms,molpadia intermedia
echinoderms,odonaster validus
echinoderms,ophiocomella alexandri
echinoderms,ophiocomella pumila
echinoderms,ophiomastix elegans
echinoderms,ophiomastix endeani
echinoderms,ophiomastix macroplaca
echinoderms,ophiomastix marshallensis
echinoderms,ophiomastix occidentalis
echinoderms,ophiomastix venosa
echinoderms,ophiomastix wendtii
echinoderms,ophiura sarsi
echinoderms,opiomastix pictum
echinoderms,oxycomanthus japonicus
echinoderms,parvulastra exigua
echinoderms,parvulastra parvivipara
echinoderms,parvulastra vivipara
echinoderms,patiria pectinifera
echinoderms,patiria stellifera
echinoderms,patiriella regularis
echinoderms,pentamera populifera
echinoderms,psammechinus miliaris
echinoderms,pseudocnus lubricus 
echinoderms,psolidium bullatum
echinoderms,psolus chitonoides...86
echinoderms,psolus chitonoides...94
echinoderms,pynopodia helianthoides
echinoderms,stronglyocentrotus pallidus
echinoderms,stronglyocentrotus purpuratus
echinoderms,tripneustes kermadecensis
elasmobranchs,aetobatidae
elasmobranchs,aulohalaelurus
elasmobranchs,beringraja
elasmobranchs,breviraja
elasmobranchs,carcharhinids
elasmobranchs,catsharks endemic
elasmobranchs,catsharks wide ranging
elasmobranchs,dactylobatus
elasmobranchs,dalatidae
elasmobranchs,deepwater sharks oviparous
elasmobranchs,deepwater sharks viviparous
elasmobranchs,filter feeders
elasmobranchs,glaucostegidae
elasmobranchs,gurgesieliidae
elasmobranchs,hemiscyllidae
elasmobranchs,hongeo
elasmobranchs,hypnos monipterygius
elasmobranchs,megatrygon microps
elasmobranchs,mobula alfredi
elasmobranchs,mobula birostris
elasmobranchs,mobulidae
elasmobranchs,orbiraja
elasmobranchs,parascyllidae
elasmobranchs,pelagic rays
elasmobranchs,pentanchus
elasmobranchs,pristidae...5
elasmobranchs,pristidae...79
elasmobranchs,proscyllidae
elasmobranchs,rhinopteridae
elasmobranchs,skates
elasmobranchs,spiniraja
elasmobranchs,taeniurops
elasmobranchs,tropical stingrays
elasmobranchs,trygonorrhinidae
elasmobranchs,wide-ranging pelagics
elasmobranchs,zearaja
elasmobranchs,zearaja maugeana
marine_mammals,sousa chinensis taiwanensis
marine_mammals,trichechus senegalensis
marine_mammals,ursus maritimus
molluscs,acesta excavata
molluscs,anadara trapezia
molluscs,aplysia vaccaria
molluscs,austrocochlea porcata
molluscs,cellana tramoserica
molluscs,crassostrea/magallana gigas
molluscs,crassotrea virginica
molluscs,haliotis coccoradiata
molluscs,haliotis kamschatkana
molluscs,magallana hongkongensis
molluscs,mimachlamys asperrima
molluscs,mytilus californiensis
molluscs,mytilus trossolus
molluscs,ostrea angasi
molluscs,plebidonax deltoides
molluscs,saccostrea glomerata
molluscs,subninella undulata
molluscs,tectura scutum
molluscs,tenguella marginalba
molluscs,trychomya hirsuta
molluscs,turbo militaris
plants_algae,avicennia marina
plants_algae,posidonia australis
reef_fish,acanthurus dusumieri
reef_fish,acromycter perturbator
reef_fish,apterichtus kendalli
reef_fish,asarcenchelys longimanus
reef_fish,bathycongrus vicinalis
reef_fish,brachysomophis longipinnis
reef_fish,callechelys bitaeniata
reef_fish,carapus bermudensi
reef_fish,cephalopholis cyanostogmata
reef_fish,chlopsis kazuko
reef_fish,cirripectes alleni
reef_fish,coloconger japonicus
reef_fish,corphaena hippurus
reef_fish,ctenoscarus bicolor
reef_fish,ecsenius trilineatus
reef_fish,entomacrodus stellifer
reef_fish,eptatretus mendozai
reef_fish,ethadophis akkistikos
reef_fish,ethadophis merenda
reef_fish,facciolella karreri
reef_fish,gadus mohua
reef_fish,galaxias brevipinnis
reef_fish,gobiodon histro
reef_fish,gorgasia maculata
reef_fish,gymnothorax javanicus
reef_fish,heteroconger klausewitzi
reef_fish,heteroconger taylori
reef_fish,hoplunnis schmidti
reef_fish,hypsoblennius striatus
reef_fish,kaupichthys brachychirus
reef_fish,lutjanus carponatatus
reef_fish,naso vlamingi
reef_fish,nessorhamphus danae
reef_fish,omobranchus fasciolatus
reef_fish,ophichthus melanoporus
reef_fish,osterhinchus doederleini
reef_fish,parenchelyurus hepburni
reef_fish,phycoduras eques
reef_fish,praealticus dayi
reef_fish,saurenchelys meteori
reef_fish,scarus schlegeri
reef_fish,skythrenchelys zabra
reef_fish,thalassenchelys foliaceus aka congriscus maldivensis
reef_fish,uropterygius wheeleri
reef_fish,xenomystax trucidans
reef_fish,xestochilus nebulosus
reptiles,acrchordus
reptiles,ephalophis
reptiles,hydrelaps
reptiles,natator depressus
reptiles,parahydrophis
seabirds,gaviidae
seabirds,hydrobatidae
seabirds,"laridae, gulls"
seabirds,"laridae, terns"
seabirds,oceanitidae
seabirds,podicipedidae
seabirds,"procellaridae, small petrels"
seabirds,"procellariidae, large petrels and shearwaters"
seabirds,pseudobulweria
seabirds,spheniscidae
cephalopods,abralia
cephalopods,abraliopsis
cephalopods,adelieledone piatkowski
cephalopods,alloteuthis
cephalopods,amphitretidae
cephalopods,ancistrocheirus lesueurii
cephalopods,architeuthis dux
cephalopods,argonauta
cephalopods,bathothauma lyromma
cephalopods,bathypolypus arcticus
cephalopods,bathypolypus sponsalis
cephalopods,berryteuthis
cephalopods,chiroteuthis
cephalopods,cirroteuthis muelleri
cephalopods,cirrothauma murrayi
cephalopods,cranchia scabra
cephalopods,discoteuthis
cephalopods,doryteuthis
cephalopods,dosidicus gigas
cephalopods,eledone
cephalopods,enoploteuthis
cephalopods,enteroctopus dofleini
cephalopods,enteroctopus megalocyathus
cephalopods,eucleoteuthis luminosa
cephalopods,euprymna
cephalopods,filippovia knipovitchi
cephalopods,galiteuthis
cephalopods,gonatus
cephalopods,graneledone verrucosa
cephalopods,haliphron
cephalopods,hapalochlaena
cephalopods,hapalochlaena lunulata
cephalopods,helicocranchia
cephalopods,heterololigo bleekeri
cephalopods,histioteuthis
cephalopods,hyaloteuthis pelagica
cephalopods,idiosepius
cephalopods,illex
cephalopods,joubiniteuthis portieri
cephalopods,loligo
cephalopods,lolliguncula
cephalopods,macrotritopus
cephalopods,martialia hyadesi
cephalopods,megaleledone setebos
cephalopods,metasepia
cephalopods,neorossia
cephalopods,nototodarus
cephalopods,nototodarus hawaiiensis
cephalopods,octopoteuthis
cephalopods,ommastrephes bartramii
cephalopods,onychoteuthis
cephalopods,onykia
cephalopods,opisthoteuthis californiana
cephalopods,opisthoteuthis calypso
cephalopods,opisthoteuthis depressa
cephalopods,ornithoteuthis
cephalopods,pareledone charcoti
cephalopods,pareledone prydzensis
cephalopods,pareledone turqueti
cephalopods,paroctopus
cephalopods,pholidoteuthis
cephalopods,pickfordiateuthis pulchella
cephalopods,psychroteuthis glacialis
cephalopods,pteroctopus
cephalopods,pterygioteuthis
cephalopods,pyroteuthis
cephalopods,rondeletiola
cephalopods,rossia
cephalopods,sandalops melancholicus
cephalopods,semirossia
cephalopods,sepia bandensis
cephalopods,sepia latimanus
cephalopods,sepiadariidae
cephalopods,sepiella
cephalopods,sepietta
cephalopods,sepiola
cephalopods,sepioteuthis
cephalopods,spirula spirula
cephalopods,stauroteuthis gilchristi
cephalopods,stauroteuthis syrtensis
cephalopods,sthenoteuthis
cephalopods,taningia danae
cephalopods,teuthowenia
cephalopods,thaumeledone peninsulae
cephalopods,thaumoctopus mimicus
cephalopods,thysanoteuthis rhombus
cephalopods,todarodes
cephalopods,todaropsis eblanae
cephalopods,tremoctopus
cephalopods,uroteuthis
cephalopods,watasenia scintillans
cephalopods,wunderpus
crustacea_arthropods,bythograea thermydron
crustacea_arthropods,nymphon australe
crustacea_arthropods,palaemon elegans
crustacea_arthropods,paralithodes camtschaticus
crustacea_arthropods,pycnogonum
crustacea_arthropods,scylla serrata
echinoderms,actinopyga echinites
echinoderms,amphiodia occidentalis
echinoderms,amphipholis squamata
echinoderms,antedon mediterranea
echinoderms,apostichopus japonicus
echinoderms,arachnoides placenta
echinoderms,asterias rubens
echinoderms,brisaster latifrons
echinoderms,centrostephanus rodgersii
echinoderms,cryptasterina pentagona
echinoderms,cucumaria miniata
echinoderms,cucumaria piperata
echinoderms,dendraster excentricus
echinoderms,diadema antillarum
echinoderms,diadema savignyi
echinoderms,diadema setosum
echinoderms,echinocardium cordatum
echinoderms,eupentacta quinquesemita
echinoderms,florometra serratissima
echinoderms,gorgonocephalus eucnemis
echinoderms,heliocidaris tuberculata
echinoderms,holothuria atra
echinoderms,holothuria forskali
echinoderms,holothuria scabra
echinoderms,loxechinus albus
echinoderms,mesocentrotus franciscanus
echinoderms,ophiocoma aethiops
echinoderms,ophiocoma echinata
echinoderms,ophiocoma erinaceus
echinoderms,ophiocoma scolopendrina
echinoderms,ophiocomella ophiactoides
echinoderms,ophiomastix annulosa
echinoderms,ophiomastix caryophyllata
echinoderms,ophiomastix janualis
echinoderms,ophiomastix mixta
echinoderms,ophiopholis aculeata
echinoderms,patiria chilensis
echinoderms,patiria miniata
echinoderms,pisaster ochraceus
echinoderms,strongylocentrotus droebachiensis
echinoderms,strongylocentrotus fragilis
echinoderms,tripneustes gratilla
elasmobranchs,stegostoma fasciatum
marine_mammals,balaenoptera brydei
molluscs,adamussium colbecki
molluscs,aeolidia papillosa
molluscs,aplysia californica
molluscs,arcidae
molluscs,argopecten irradians
molluscs,bankia setacea
molluscs,cadlina luteomarginata
molluscs,calliostoma ligatum
molluscs,cerastoderma edule
molluscs,haliotis rubra
molluscs,mercenaria mercenaria
molluscs,mytilus edulis
molluscs,mytilus galloprovincialis
molluscs,ostrea edulis
molluscs,ostrea lurida
molluscs,panopea generosa
molluscs,pecten fumatus
molluscs,pecten maximus
molluscs,pinctada fucata
molluscs,pinctada maxima
molluscs,pinna bicolor
molluscs,siliqua patula
molluscs,tegula funebralis
molluscs,tridacna gigas
molluscs,tridacna maxima
molluscs,trochus niloticus
plants_algae,macrocystis
plants_algae,porolithon
polychaetes,nephtyidae
polychaetes,nereididae
polychaetes,sabellidae
polychaetes,terebellidae
reef_fish,acanthochromis polyacanthus
reef_fish,amphiprion akindynos
reef_fish,anguilla australis
reef_fish,ariosoma selenops
reef_fish,balistoides viridescens
reef_fish,bathycongrus retrotinctus
reef_fish,bathypterois grallator
reef_fish,bathyuroconger vicinus
reef_fish,brachionichthys hirsutus
reef_fish,champsocephalus gunnari
reef_fish,chanos chanos
reef_fish,conger verreauxi
reef_fish,derichthys serpentinus
reef_fish,dissostichus eleginoides
reef_fish,encheliophis gracilis
reef_fish,enchelycore schismatorhynchus
reef_fish,eviota sigillata
reef_fish,exocoetus volitans
reef_fish,gobiodon citrinus
reef_fish,hippoglossus stenolepis
reef_fish,hoplostethus atlanticus
reef_fish,hygophum proximum
reef_fish,lutjanus sebae
reef_fish,meuschenia scaber
reef_fish,monopenchelys acuta
reef_fish,moringua edwardsi
reef_fish,oncorhynchus nerka
reef_fish,ophichthus altipennis
reef_fish,parapercis colias
reef_fish,parma microlepis
reef_fish,pomacentrus coelestis
reef_fish,rexea solandri
reef_fish,rhinomuraena quaesita
reef_fish,saurenchelys fierasfer
reef_fish,sebastes diploproa
reef_fish,serrivomer lanceolatoides
reef_fish,simenchelys parasitica
reef_fish,synaphobranchus affinis
reef_fish,synaphobranchus kaupii
reef_fish,synaphobranchus oregoni
reef_fish,uropterygius fuscoguttatus
reef_fish,venefica tentaculata
reptiles,amblyrhynchus cristatus
sponges,demospongiae
